y.1,y.2,y.3,y.4,site,ufc,trba
0,0,0,0,CAT003,23.43,62.5
1,0,0,0,CAT004,15.62,70
0,0,0,0,CAT011,35.54,90
0,0,0,0,CAT013,25.78,60
0,0,0,0,CAT017,25,122.5
0,0,0,0,CAT023,23.43,107.5
0,0,0,0,CAT030,6.64,145
0,0,0,0,CAT040,8.2,90
2,0,0,0,CAT059,9.7,110
1,0,0,0,CAT061,28.12,92.5
0,0,0,0,CAT068,9.37,85
0,0,0,0,CAT071,25.78,97.5
2,0,1,0,CAT082,15.23,112.5
1,0,0,0,CAT083,1.56,95
1,0,0,0,CAT090,7.81,145
0,0,0,0,CAT093,12.89,120
0,1,0,1,CAT100,3.9,115
0,1,0,0,CAT110,37.89,57.5
0,0,0,0,CAT122,15.62,125
0,0,0,0,CAT129,9.76,145
1,0,0,0,CAT134,5.07,145
1,1,0,0,CAT138,5.07,130
1,0,0,0,CAT146,7.03,130
1,0,0,0,CAT175,9.76,110
0,1,0,0,CAT179,26.56,50
1,0,0,0,CAT180,7.81,122.5
1,1,0,1,CAT181,27.73,100
0,0,0,0,CAT198,3.5,67.5
0,0,0,0,CAT247,8.59,117.5
0,0,0,0,CAT262,1.95,95
0,0,0,0,CAT264,24.21,117.5
0,0,0,0,CAT269,5.46,127.5
0,0,0,0,CAT276,4.68,135
0,0,0,0,CAT293,4.29,155
0,0,0,0,CAT346,5.85,135
2,0,1,0,FCW018,22.26,80
1,0,0,0,FCW052,30.46,90
0,1,0,0,FCW065,8.59,107.5
1,1,0,0,FCW067,8.2,125.5
1,0,0,0,FCW082,10.54,105
2,1,0,0,FCW083,31.25,95
0,1,0,0,FCW085,25.39,80
1,2,0,0,FCW099,21.48,95
0,0,0,1,FCW112,26.56,72
1,0,1,0,FCW129,13.67,60
3,0,0,0,FCW131,17.18,77.5
1,0,0,0,FCW143,25.39,110
2,0,1,0,FCW159,8.98,97.5
0,0,0,2,FCW175,30.07,77.5
1,1,0,0,FCW182,27.73,72.5
3,0,0,0,FCW191,14.06,85
0,0,0,0,FCW205,17.96,100
2,0,0,0,FCW249,28.12,87
1,0,0,0,FCW264,33.2,105
1,0,0,0,FCW265,16.01,87.5
1,0,0,0,FCW274,16.4,130
1,0,0,0,FCW281,8.59,82.5
1,1,0,0,FCW292,12.1,80
1,1,0,0,FCW298,8.2,107.5
2,0,0,1,FCW299,16.01,95
0,1,0,0,FCW311,5.07,70
2,0,0,0,FCW373,26.95,85
1,0,1,1,FCW379,14.84,117.5
2,1,0,0,FCW388,11.71,125
0,0,0,0,FCW413,2.34,105
1,0,0,0,FCW432,12.89,137.5
0,0,0,0,FCW441,8.2,100
0,0,0,0,FCW450,11.71,145
0,0,0,0,FCW486,1.17,180
0,0,0,0,FCW498,10.93,85
